iter	RMSE
0	14.51293758
1	14.16009995
2	13.79104332
3	13.48719408
4	13.16854202
5	12.86513528
6	12.55346369
7	12.27796923
8	12.03863266
9	11.73595865
10	11.49498245
11	11.26651249
12	11.01817439
13	10.77720875
14	10.54194576
15	10.32080296
16	10.11427615
17	9.922380182
18	9.73885208
19	9.564302721
20	9.417280227
21	9.228290538
22	9.048939919
23	8.886256762
24	8.736523803
25	8.590112118
26	8.444248182
27	8.30582605
28	8.187327218
29	8.077377221
30	7.959349721
31	7.853213374
32	7.753974536
33	7.65593814
34	7.55369779
35	7.460040831
36	7.398936087
37	7.322118517
38	7.229728329
39	7.164353951
40	7.087586691
41	7.022663204
42	6.951771526
43	6.881664274
44	6.812644385
45	6.746042875
46	6.688287547
47	6.629757579
48	6.57999254
49	6.52200176
50	6.475031641
51	6.426825428
52	6.377743573
53	6.334035864
54	6.292438358
55	6.249634729
56	6.216216832
57	6.178308166
58	6.139282296
59	6.103425236
60	6.071328321
61	6.034699842
62	6.005390339
63	5.981805111
64	5.952048497
65	5.920635811
66	5.892614354
67	5.865109682
68	5.840052456
69	5.814462486
70	5.789366869
71	5.768586406
72	5.750763806
73	5.733575605
74	5.713581171
75	5.693872335
76	5.67279331
77	5.657638808
78	5.644041528
79	5.625371834
80	5.61066574
81	5.592270162
82	5.574190505
83	5.55549206
84	5.546286891
85	5.531665088
86	5.518730691
87	5.505324656
88	5.49199716
89	5.480589177
90	5.466165134
91	5.457349794
92	5.446370376
93	5.436590002
94	5.42610606
95	5.414195174
96	5.402849014
97	5.392571416
98	5.386504372
99	5.374133155
100	5.36785983
101	5.359433686
102	5.351556373
103	5.337073571
104	5.330321301
105	5.32241482
106	5.311664137
107	5.301316089
108	5.29425451
109	5.286510137
110	5.279295363
111	5.270171964
112	5.264892092
113	5.259746158
114	5.255060132
115	5.24669897
116	5.242117939
117	5.236996595
118	5.228262992
119	5.221366485
120	5.218930469
121	5.213283041
122	5.206282086
123	5.197485603
124	5.193969019
125	5.186766989
126	5.181900213
127	5.173435783
128	5.16852865
129	5.162947232
130	5.155928891
131	5.152993546
132	5.145064851
133	5.142330388
134	5.135448457
135	5.131563262
136	5.127943246
137	5.123160287
138	5.118296297
139	5.112741117
140	5.108163554
141	5.104939582
142	5.097628303
143	5.093509616
144	5.089769618
145	5.086623985
